turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
323,481.6,1213789,8088576,270495744,66149877,0,492,10508704,246,196,1,196,
324,482.6,1213789,8121344,270495744,66149877,0,496,10925890,248,196,1,196,
325,483.1,1213789,8186880,270495744,66149877,0,500,11200664,250,196,1,196,
326,483.7,1213789,8580096,270495744,66149877,0,504,11538906,252,196,1,196,
327,484.6,1213789,9513984,270495744,66149877,0,508,11940649,254,196,1,196,
328,485.4,1213789,10431488,270495744,66149877,0,512,12405859,256,196,1,196,
329,486.8,1213789,11611136,271675392,66149877,0,516,12934605,258,196,1,196,
330,493.2,1213789,8121344,273379328,72370671,0,520,13526801,260,196,1,196,
331,494.0,1213789,8252416,273379328,72370671,0,524,13770846,262,196,1,196,
332,495.0,1213789,8285184,273510400,72370671,0,528,14078440,264,196,1,196,
333,496.3,1213789,8317952,273510400,72370671,0,532,14449526,266,196,1,196,
334,497.7,1213789,8350720,273510400,72370671,0,536,14884118,268,196,1,196,
335,499.4,1213789,8416256,274165760,72370671,0,540,15382109,270,196,1,196,
336,501.2,1213789,8465408,274690048,72370671,0,544,15943648,272,196,1,196,
337,502.0,1213789,9284608,274821120,72370671,0,548,16362860,274,196,1,196,
338,502.5,1213789,9907200,274821120,72370671,0,552,16639699,276,196,1,196,
339,503.3,1213789,10775552,274821120,72370671,0,556,16980043,278,196,1,196,
340,507.0,1213789,8236032,274821120,77390485,0,560,17383827,280,196,1,196,
341,508.1,1213789,8367104,275345408,77390485,0,564,17851093,282,196,1,196,
